#
# Linux system call numbers and entry vectors
#
# The format is:
# <number> <abi> <name> <entry point> <comment>
#
# The abi is always common for this file.
#
0       common  restart_syscall         sys_restart_syscall				/* ok */
280     common  mq_timedreceive         sys_mq_timedreceive				/* ok */
281     common  mq_notify               sys_mq_notify					/* ok */
282     common  mq_getsetattr           sys_mq_getsetattr				/* ok */
283     common  kexec_load              sys_kexec_load					/* ok */
284     common  waitid                  sys_waitid					/* ok */
285	common	sys_setaltroot		sys_ni_syscall					-
286     common  add_key                 sys_add_key					/* ok */
287     common  request_key             sys_request_key					/* ok */
288     common  keyctl                  sys_keyctl					/* ok */
289     common  ioprio_set              sys_ioprio_set					/* ok */
290     common  ioprio_get              sys_ioprio_get					/* ok */
291     common  inotify_init            sys_inotify_init				/* ok */
292     common  inotify_add_watch       sys_inotify_add_watch				/* ok */
293     common  inotify_rm_watch        sys_inotify_rm_watch				/* ok */
294     common  migrate_pages           sys_ni_syscall					/* mmu */
295     common  openat                  sys_openat					/* ok */
296     common  mkdirat                 sys_mkdirat					/* ok */
297     common  mknodat                 sys_mknodat					/* ok */
298     common  fchownat                sys_fchownat					/* ok */
299     common  futimesat               sys_futimesat					/* obsolete -> sys_utimesat */
300     common  fstatat64               sys_fstatat64					/* stat64 */
301     common  unlinkat                sys_unlinkat					/* ok */
302     common  renameat                sys_renameat					/* ok */
303     common  linkat                  sys_linkat					/* ok */
304     common  symlinkat               sys_symlinkat					/* ok */
305     common  readlinkat              sys_readlinkat					/* ok */
306     common  fchmodat                sys_fchmodat					/* ok */
307     common  faccessat               sys_faccessat					/* ok */	
308     common  pselect6                sys_pselect6					/* ok */
309     common  ppoll                   sys_ppoll					/* ok */
310     common  unshare                 sys_unshare					/* ok */
311     common  set_robust_list         sys_set_robust_list				/* ok */
312     common  get_robust_list         sys_get_robust_list				/* ok */
313     common  splice                  sys_splice					/* ok */
314     common  sync_file_range         sys_sync_file_range				/* ok */
315     common  tee                     sys_tee						/* ok */
316     common  vmsplice                sys_vmsplice					/* ok */
317     common  move_pages              sys_move_pages					/* mmu */
318     common  getcpu                  sys_getcpu					/* ok */
319     common  epoll_pwait             sys_epoll_pwait					/* ok */
320     common  utimensat               sys_utimensat					/* ok */
321     common  signalfd                sys_signalfd					/* ok */
322     common  timerfd_create          sys_timerfd_create				/* ok */
323     common  eventfd                 sys_eventfd					/* ok */
324     common  fallocate               sys_fallocate					/* ok */
325     common  semtimedop              sys_semtimedop					/* ok - semaphore group */
326     common  timerfd_settime         sys_timerfd_settime				/* ok */
327     common  timerfd_gettime         sys_timerfd_gettime				/* ok */
328     common  semctl                  sys_semctl					/* ok */
329     common  semget                  sys_semget					/* ok */
330     common  semop                   sys_semop					/* ok */
331     common  msgctl                  sys_msgctl					/* ok */
332     common  msgget                  sys_msgget					/* ok */
333     common  msgrcv                  sys_msgrcv					/* ok */
334     common  msgsnd                  sys_msgsnd					/* ok */
335     common  shmat                   sys_shmat					/* ok */
336     common  shmctl                  sys_shmctl					/* ok */
337     common  shmdt                   sys_shmdt					/* ok */
338     common  shmget                  sys_shmget					/* ok */
339     common  signalfd4               sys_signalfd4					/* new */
340     common  eventfd2                sys_eventfd2					/* new */
341     common  epoll_create1           sys_epoll_create1				/* new */
342     common  dup3                    sys_dup3					/* new */
343     common  pipe2                   sys_pipe2					/* new */
344     common  inotify_init1           sys_inotify_init1				/* new */
345     common  socket                  sys_socket					/* new */
346     common  socketpair              sys_socketpair					/* new */
347     common  bind                    sys_bind					/* new */
348     common  listen                  sys_listen					/* new */
349     common  accept                  sys_accept					/* new */
350     common  connect                 sys_connect					/* new */
351     common  getsockname             sys_getsockname					/* new */
352     common  getpeername             sys_getpeername					/* new */
353     common  sendto                  sys_sendto					/* new */
354     common  send                    sys_send					/* new */
355     common  recvfrom                sys_recvfrom					/* new */
356     common  recv                    sys_recv					/* new */
357     common  setsockopt              sys_setsockopt					/* new */
358     common  getsockopt              sys_getsockopt					/* new */
359     common  shutdown                sys_shutdown					/* new */
360     common  sendmsg                 sys_sendmsg					/* new */	
361     common  recvmsg                 sys_recvmsg					/* new */
362     common  accept4                 sys_accept4					/* new */
363     common  preadv                  sys_preadv					/* new */
364     common  pwritev                 sys_pwritev					/* new */
365     common  rt_tgsigqueueinfo       sys_rt_tgsigqueueinfo				/* new */
366     common  perf_event_open         sys_perf_event_open				/* new */
367     common  recvmmsg                sys_recvmmsg					/* new */
368     common  fanotify_init           sys_fanotify_init
369     common  fanotify_mark           sys_fanotify_mark
370     common  prlimit64               sys_prlimit64
371     common  name_to_handle_at       sys_name_to_handle_at
